DONATIONNUMBER,ITEMNUMBER,ITEMDESCRIPTION,DONATIONREASON,PACK,SIZE_,SIZEUOM,PACKAGINGTYPE,UNITOFMEASURE,QUANTITY,QUANTITYPERPALLET,TOTALPALLETS,GROSSWEIGHT,TOTALGROSSWEIGHT,NETWEIGHT,CUBE,STORAGEREQUIREMENT,MANUFACTUREDATE,EXPIRATIONDATE,SHELFLIFE,EXTENSION,USEBYDATE,BILLOFLADINGNUMBER,STATUS,CODEDATETYPE,MAGREFNUMBER
WD17110022,7085681087587,Turkey fingers for kids,CLOSE CODE,/12,12,,PAPER,,150.0,75.0,2.0,8.3,1245.0,,,DRY,,10/10/2018,,,10/10/2018,,Acknowledged,,6000
WD17110031,7737854737001,Chicken in A Can Meals,CLOSE CODE,/12 Box,12,Box,PAPER,Box,250.0,25.0,10.0,12.5,3125.0,,,Refrigerated,,10/5/2018,100,30,11/4/2018,,Acknowledged,,1000
WD17110049,3800029559,Special K20 Lemon Protein Water 4 ct. - 16 fl. oz.,CLOSE CODE,6/68.3 CS,68.3,CS,Unknown,Each,250.0,25.0,10.0,28.04,7010.0,,,DRY,,8/20/2018,365,25,9/14/2018,,Acknowledged,,1000
WD17110049,3800029563,Special K20 Tropical Blend Protein Water 4 ct. -,CLOSE CODE,6/68.3 CS,68.3,CS,Unknown,Each,100.0,15.0,6.66666666666667,28.04,2804.0,,,DRY,,8/21/2018,365,25,9/15/2018,,Acknowledged,,2000
WD17110049,3800029566,Special K20 Strawberry Kiwi Protein Water 4 ct. -,Inventory,6/68.3 CS,68.3,CS,Unknown,Each,150.0,25.0,6.0,28.04,4206.0,,,DRY,,8/22/2018,365,25,9/16/2018,,Acknowledged,,3000
WD17110049,3800031365,Special K20 Lemon Twist Protein Water SS 12 ct. -,Inventory,12/17.1 CS,17.1,CS,Unknown,Each,200.0,50.0,4.0,14.38,2876.0,,,DRY,,8/23/2018,365,25,9/17/2018,,Acknowledged,,4000
WD17110049,3800031409,SpK20 Tropical Blend Protein Water SS (12-16 fl. o,Damaged,12/17.1 CS,17.1,CS,Unknown,Each,160.0,15.0,10.6666666666667,14.38,2300.8,,,DRY,,8/24/2018,365,25,9/18/2018,,Acknowledged,,5000
WD17110049,3800031956,Special K20 Strawberry Kiwi Protein Water 12 ct. C,CLOSE CODE,1/204.8 CS,204.8,CS,Unknown,Each,130.0,25.0,5.2,14.38,1869.4,,,DRY,,8/25/2018,365,25,9/19/2018,,Acknowledged,,6000
WD17110049,3800031368,Special K20 Strawberry Kiwi Protein Water SS 12 ct,Discontinued Item,12/17.1 CS,17.1,CS,Unknown,Each,125.0,35.0,3.57142857142857,14.38,1797.5,,,DRY,,8/26/2018,365,25,9/20/2018,,Acknowledged,,7000
WD17110031,7085681087587,Turkey fingers for kids,CLOSE CODE,/12 Box,12,Box,PAPER,Box,1500.0,75.0,20.0,8.3,12450.0,,,DRY,,10/10/2018,,,10/10/2018,,Acknowledged,,6000
