org_id,entity_name,printable_name,status_flag,currency,currency_pattern,float_pattern,group_separator,group_size,decimal_char,language,country,time_zone,org_type,created_time,created_by,modified_time,modified_by,sys_flags,path,years_in_business,industry_val_num,annual_rev_vid,emp_count_vid,oca,parent_org_id,master_org_id
ORG_00004K50,TestLocation3,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-16 20:16:53,USER_00004IV5,2003-04-16 20:19:42,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004K4U.ORG_00004K50,0.0,0.0,0.0,0.0,1,ORG_00004K4U,ORG_00004IFH
ORG_00004K7P,AuroraDry,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-17 21:12:32,USER_00004IV5,2003-04-17 21:14:16,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K7P,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KAT,testdonor2,testdonor2,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-21 17:14:55,USER_00004K1T,2003-04-22 12:52:16,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004KAT,0.0,0.0,0.0,0.0,5,ORG_00004IFH,ORG_00004IFH
ORG_00004KAU,Gassaway,Gassaway,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 02:16:41,USER_00004K1T,2008-12-01 15:13:44,USER_00004SE9,0,ORG_00000001.ORG_00004IFI.ORG_00004KAU,0.0,0.0,0.0,0.0,4,ORG_00004IFI,ORG_00004IFI
ORG_00004KAV,Washington,Washington,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 02:24:27,USER_00004K1T,2006-01-09 17:30:37,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KAV,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KB0,Theodore,Theodore,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 02:28:43,USER_00004K1T,2006-01-09 17:20:37,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KB0,0.0,0.0,0.0,0.0,7,ORG_00004IFI,ORG_00004IFI
ORG_00004KB1,TestDonor3,TestDonor3,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 12:53:47,USER_00004K1T,2003-04-22 13:28:46,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004KB1,0.0,0.0,0.0,0.0,3,ORG_00004IFH,ORG_00004IFH
ORG_00004KB2,TestDonor4,TestDonor4,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 13:23:34,USER_00004K1T,2003-04-22 13:33:03,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004KB2,0.0,0.0,0.0,0.0,3,ORG_00004IFH,ORG_00004IFH
ORG_00004KB3,Newark,Newark,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 14:20:48,USER_00004K1T,2006-01-05 23:31:01,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KB3,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004KB4,NewarkZD,NewarkZD,I,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 14:26:47,USER_00004K1T,2006-01-05 23:31:56,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004KB4,0.0,0.0,0.0,0.0,4,ORG_00004IFI,ORG_00004IFI
ORG_00004KB5,FtWorthDry,Fort Worth Dry,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 15:19:00,USER_00004IV5,2003-04-22 15:27:19,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KB5,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KB6,Davenport,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 15:19:42,USER_00004IV5,2003-04-22 15:26:13,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KB6,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KB7,Farmdale,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 15:20:09,USER_00004IV5,2003-04-22 15:26:37,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KB7,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KB8,MemphisHQ,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 15:20:41,USER_00004IV5,2003-04-22 15:29:50,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KB8,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KB9,Campbell,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 15:21:15,USER_00004IV5,2003-04-22 15:22:07,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KB9,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KBA,BeaverDam,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-22 15:28:42,USER_00004IV5,2003-04-22 15:29:16,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KBA,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004KBB,CrescentPark,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-24 21:16:41,USER_00004IV5,2003-04-24 21:30:34,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004KBB,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
