org_id,org_name,status,created_time,currency,data_source
ORG_00004KE2,NorthLawrence,Active,2003-05-01 03:58:56,USD,Choice
ORG_00004KE3,Walton,Active,2003-05-01 04:02:50,USD,Choice
ORG_00004KE4,Fresno,Active,2003-05-01 04:07:06,USD,Choice
ORG_00004KE5,Ryebrook,Active,2003-05-01 04:10:57,USD,Choice
ORG_00004KE6,Fullerton,Active,2003-05-01 04:13:36,USD,Choice
ORG_00004KE7,AllentownDC,Active,2003-05-01 04:15:58,USD,Choice
ORG_00004KE8,Kendalville,Active,2003-05-01 04:17:59,USD,Choice
ORG_00004KE9,RiversideZC,Active,2003-05-05 01:26:55,USD,Choice
ORG_00004KEA,DesMoinesZC,Active,2003-05-05 01:35:01,USD,Choice
ORG_00004KEB,Jacksonville,Active,2003-05-05 01:40:34,USD,Choice
ORG_00004KEC,Maplewood,Active,2003-05-05 20:18:14,USD,Choice
ORG_00004KED,Chattanooga,Active,2003-05-06 03:40:46,USD,Choice
ORG_00004KEE,ChattanoogaZD,Active,2003-05-06 03:45:41,USD,Choice
ORG_00000001,DEFAULT,Active,2001-01-01 00:00:00,USD,Choice
ORG_000002E5,AcmeServices,Active,2001-08-23 00:10:03,USD,Choice
ORG_000002E6,McDougals,Active,2001-08-23 00:14:20,USD,Choice
ORG_000002E7,WesternOil,Active,2001-08-23 00:15:53,USD,Choice
ORG_000002E8,NorthTrade,Active,2001-08-23 00:17:36,USD,Choice
ORG_000002E9,EDA,Active,2001-08-23 00:19:25,USD,Choice
ORG_000002TP,Dell,Active,2001-09-11 18:47:11,USD,Choice
ORG_000002TQ,Compaq,Active,2001-09-11 18:48:06,USD,Choice
ORG_000002TR,3Com,Active,2001-09-11 18:48:44,USD,Choice
ORG_00004IFH,Donor,Active,2002-09-24 20:45:18,USD,Choice
ORG_00004IFI,Recipient,Active,2002-09-24 20:46:34,USD,Choice
ORG_00004IFJ,Fritolay,Active,2002-09-24 20:47:38,USD,Choice
ORG_00004IFK,Kraft,Active,2002-09-24 20:48:09,USD,Choice
ORG_00004IFL,FritolayTx,Active,2002-09-24 20:49:01,USD,Choice
ORG_00004IFM,FritolayCa,Active,2002-09-24 20:49:36,USD,Choice
ORG_00004IIL,Ibhar,Active,2002-09-30 18:30:05,USD,Choice
ORG_00004ILP,Penske,Active,2002-10-17 14:48:12,USD,Choice
ORG_00004ILQ,PenskeTX,Active,2002-10-17 14:49:17,USD,Choice
ORG_00004ILR,PenskeCA,Active,2002-10-17 14:49:51,USD,Choice
ORG_00004ILS,TestDonor,Active,2002-10-17 15:39:29,USD,Choice
ORG_00004IOT,R1,Active,2002-10-17 20:29:35,USD,Choice
ORG_00004IS1,HCL,Active,2002-10-18 23:11:23,USD,Choice
ORG_00004IS2,R2,Active,2002-10-22 16:26:39,USD,Choice
ORG_00004IV5,Aidmatrix,Active,2002-12-10 18:28:29,USD,Choice
ORG_00004J29,KraftFoods,Active,2002-12-11 15:34:24,USD,Choice
ORG_00004J2A,OntarioDry493,Active,2002-12-11 15:37:10,USD,Choice
ORG_00004J2B,AuroraDry488,Active,2002-12-11 15:38:34,USD,Choice
ORG_00004J5D,KraftPilot,Active,2002-12-16 17:26:44,USD,Choice
ORG_00004J5E,KraftPilot1,Active,2002-12-16 18:47:49,USD,Choice
ORG_00004J5F,TropicanaPilot,Active,2002-12-16 22:13:32,USD,Choice
ORG_00004J5G,ConAgraDairyPilot,Active,2002-12-16 23:03:52,USD,Choice
ORG_00004J5H,ConAgraDairy,Active,2002-12-19 17:56:53,USD,Choice
ORG_00004J8H,AustinPilot,Active,2003-01-06 17:11:13,USD,Choice
ORG_00004J8I,LexingtonPilot,Active,2003-01-06 17:43:58,USD,Choice
ORG_00004J8J,St.CharlesPilot,Active,2003-01-06 17:55:39,USD,Choice
ORG_00004J8K,DallasPilot,Active,2003-01-06 18:03:32,USD,Choice
ORG_00004JBL,Tropicana,Active,2003-01-14 17:30:44,USD,Choice
ORG_00004JBM,DallasZC,Active,2003-01-14 21:44:51,USD,Choice
ORG_00004JEP,LexingtonZC,Active,2003-01-16 20:42:16,USD,Choice
ORG_00004JEQ,StCharles,Active,2003-01-16 20:55:51,USD,Choice
ORG_00004JER,Austin,Active,2003-01-16 21:06:08,USD,Choice
ORG_00004JES,AustinZD,Active,2003-01-16 21:07:00,USD,Choice
ORG_00004JET,StCharlesZD,Active,2003-01-16 21:07:50,USD,Choice
ORG_00004JHT,TestAffiliate1,Active,2003-02-24 16:39:46,USD,Choice
ORG_00004JHU,TestAffiliate2,Active,2003-02-24 16:43:35,USD,Choice
ORG_00004JHV,TestAffiliate3,Active,2003-02-24 16:43:56,USD,Choice
ORG_00004JI0,TestAffiliate4,Active,2003-02-24 16:44:19,USD,Choice
ORG_00004JI1,TestAffiliate5,Active,2003-02-24 16:44:54,USD,Choice
ORG_00004JI2,ArdenHillsZD,Active,2003-02-24 17:46:53,USD,Choice
ORG_00004JI3,Allentown,Active,2003-02-24 17:48:03,USD,Choice
