ORGNAME,CITY,NEWGOALFACTOR,FOODBANKGOALFACTOR,ISFRO,FROGOALFACTORWITHFEC,INITIALSHARES,INITIALCREDIT,TEMPCOLUMN1,TEMPCOLUMN2,TEMPCOLUMN3,TEMPCOLUMN4,STATE,CURRENTSHARES,CURRENTCREDIT,CREDITSHARESBORROWED,CREDITSHARESPAID
SpringfieldMO,Springfield,0.38,0.38,0,,0.0,0.0,0.0,0.0,0.0,0.0,MO,13669.004719866018,50000.0,3742.0,3742.0
StCharles,St. Charles,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,14798.0,0.0,0.0,0.0
StCharlesZD,ZD-ST. CHARLES,1.05,1.05,0,,77693.81023422057,11000.0,0.0,0.0,0.0,0.0,IL,11143.282406538498,0.0,0.0,0.0
StJoseph,St. Joseph,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MO,1760.8,0.0,0.0,0.0
StLouis,St. Louis,1.06,1.06,0,,54780.31679118412,11000.0,0.0,0.0,0.0,0.0,MO,6128.5648100413955,2007.2841129053372,916001.0,883414.0974625709
SunCity,Sun City,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,0.0,0.0,0.0,0.0
Tallahassee,Tallahassee,0.22,0.22,0,,15054.522418030623,57000.0,0.0,0.0,0.0,0.0,FL,294.30838495489655,16215.280358350203,248619.0,205834.2803583502
Tampa,Tampa,1.41,1.41,0,,67935.30436550843,0.0,0.0,0.0,0.0,0.0,FL,200000.0,0.0,3020.0,3020.0
TerreHaute,Terre Haute,0.09,0.09,0,,0.0,68000.0,0.0,0.0,0.0,0.0,IN,77515.76407493495,68000.0,0.0,0.0
TexarkanaFRO,Texarkana,0.08,0.08,0,0.02,402.58798180044226,68000.0,0.0,0.0,0.0,0.0,TX,731.6505153965891,800.0549778612631,243543.0,176343.3836711419
Theodore,Theodore,0.8,0.8,0,,41517.59440482871,20000.0,0.0,0.0,0.0,0.0,AL,5613.913630200457,27117.71631450998,1472144.668266997,1469262.0355971106
Toledo,Toledo,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,0.0,0.0,0.0,0.0
Tucson,Tucson,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,0.0,0.0,0.0,0.0
Tulsa,Tulsa,0.01,0.01,0,,0.0,0.0,0.0,0.0,0.0,0.0,OK,33909.6497768684,1736.3278607734546,556510.0,525007.7250599923
TulsaZC,ZC-TULSA,0.0,0.0,0,,44585.201421082784,23914.798578917216,0.0,0.0,0.0,0.0,OK,0.0,0.0,0.0,0.0
Tyler,Tyler,0.51,0.51,0,,27461.036561402,40000.0,0.0,0.0,0.0,0.0,TX,1520.1295886591283,40777.69949498947,532572.0,526368.6971056679
Urbana,Urbana,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IL,40144.0,0.0,0.0,0.0
Valdosta,Valdosta,0.35,0.35,0,,6566.153280632566,50000.0,0.0,0.0,0.0,0.0,GA,127300.09361562664,53500.0,0.0,0.0
Verona,Verona,0.31,0.31,0,,19210.81806112533,50000.0,0.0,0.0,0.0,0.0,VA,25092.70819287555,50000.0,262108.0,262108.0
Victoria,Victoria,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,0.0,0.0,0.0,0.0
VisaliaFB,Visalia,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,5178.0,0.0,0.0,0.0
Washington,Washington,0.97,0.97,0,,58874.239648366085,17500.0,0.0,0.0,0.0,0.0,DC,79395.85163739853,5500.0,510179.0,510179.0
Waterloo,Waterloo,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,IA,0.0,0.0,0.0,0.0
Watsonville,Watsonville,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,CA,736.2832160780025,0.0,0.0,0.0
Wichita,Wichita,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,KS,3600.0,0.0,0.0,0.0
WichitaFalls,Wichita Falls,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,0.0,0.0,0.0,0.0
WilkesBarre,Wilkes Barre,0.19,0.19,0,,11589.997673240901,59000.0,0.0,0.0,0.0,0.0,PA,656.7228854693788,15350.33863019708,362046.0,318396.3386301971
Windsor,Windsor,0.31,0.31,0,,3146.9905619612036,53500.0,0.0,0.0,0.0,0.0,CT,25683.44125899147,34617.33085250311,472923.0,457539.977359869
WinstonSalem,Winston-Salem,0.74,0.74,0,,33261.705651287244,30000.0,0.0,0.0,0.0,0.0,NC,200000.0,30000.0,645256.5,645256.5
Youngstown,Youngstown,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,12922.0,0.0,0.0,0.0
Yuma,Yuma,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,0.0,0.0,0.0,0.0
Oxnard,Oxnard,0.21,0.21,0,,0.0,57000.0,0.0,0.0,0.0,0.0,CA,23673.725452541777,23673.360292529975,454185.0,443858.76476619096
Nashville,Nashville,0.86,0.86,0,,44653.24446026032,20000.0,0.0,0.0,0.0,0.0,TN,8298.362478662288,1447.6374893689288,726472.0,700393.6294006534
Allentown,Allentown,0.27,0.27,0,,14447.805318697563,53500.0,0.0,0.0,0.0,0.0,PA,200000.0,50000.0,0.0,0.0
Amarillo,Amarillo,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,1500.0,0.0,0.0,0.0
Akron,Akron,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,OH,2506.8,0.0,0.0,0.0
Asheville,Asheville,0.24,0.24,0,,3220.703854403538,57000.0,0.0,0.0,0.0,0.0,NC,632.833085928066,2633.608959775523,425284.0,370917.14296499494
Athens,Athens,0.17,0.17,0,,0.0,59000.0,0.0,0.0,0.0,0.0,GA,104.3429408568288,15564.87962529674,407943.0,364507.5686594978
Auburn,Auburn,0.43,0.43,0,,24387.75929188313,45750.0,0.0,0.0,0.0,0.0,ME,200000.0,50000.0,646086.0,646086.0
Augusta,Augusta,0.49,0.49,0,,4768.682995692563,45750.0,0.0,0.0,0.0,0.0,GA,49078.25259132815,45750.0,5227.0,5227.0
BattleCreek1,Battle Creek,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,MI,0.0058065718495495,0.0,98987.0,70987.87283899903
Beaumont,Beaumont,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,TX,0.0,0.0,0.0,0.0
BethanyZC,ZC- BETHANY,2.33,2.33,0,,145504.3690279035,0.0,0.0,0.0,0.0,0.0,CT,98171.09716213307,0.0,0.0,0.0
Bloomington,Bloomington,0.05,0.05,0,,0.0,0.0,0.0,0.0,0.0,0.0,IN,694.3140497036621,0.0,0.0,0.0
Boise,Boise,0.44,0.44,0,,22800.08837774054,45750.0,0.0,0.0,0.0,0.0,ID,6557.217909850792,5438.069114996003,864191.0,823879.4986713437
Buffalo,Buffalo,0.38,0.38,0,,0.0,50000.0,0.0,0.0,0.0,0.0,NY,64159.61409939127,45750.0,0.0,0.0
CathedralCity,Cathedral City,0.35,0.35,0,,0.0,50000.0,0.0,0.0,0.0,0.0,CA,589.2315787453448,6589.48720769029,488715.0,446303.52473461896
Chattanooga,Chattanooga,0.02,0.02,0,,0.0,0.0,0.0,0.0,0.0,0.0,TN,2215.972048675432,0.0,0.0,0.0
